kundennummer;firma;datum;art;netto;brutto;quelle
10347;GPLUSK Elektrotechnik GmbH;2023-08-23;INVOICE;495.72999999999996;589.92;lexoffice_alt
10391;ReindersArchitekten BDA;2023-08-24;INVOICE;600.0;714.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-08-29;INVOICE;1000.0;1190.0;lexoffice_alt
10390;Neuefeind Haustechnik GmbH;2023-08-29;INVOICE;1400.0;1666.0;lexoffice_alt
10404;ISS Facility Holding GmbH;2023-09-13;INVOICE;7200.0;8568.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-09-26;INVOICE;1000.0;1190.0;lexoffice_alt
10357;Landmaschinen- u. Kfz-Handel Starkenberg GmbH;2023-09-26;INVOICE;1400.0;1666.0;lexoffice_alt
10294;videte ITÂ® project GmbH;2023-09-26;INVOICE;1600.0;1904.0;lexoffice_alt
10390;Neuefeind Haustechnik GmbH;2023-09-26;INVOICE;1400.0;1666.0;lexoffice_alt
10391;ReindersArchitekten BDA;2023-10-04;INVOICE;600.0;714.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-10-16;INVOICE;1981.0;2357.39;lexoffice_alt
10253;Permaton Wpc Grassau GmbH;2023-10-17;INVOICE;1800.0;2142.0;lexoffice_alt
10294;videte ITÂ® project GmbH;2023-10-27;INVOICE;1600.0;1904.0;lexoffice_alt
10391;ReindersArchitekten BDA;2023-10-27;INVOICE;1200.0;1428.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-11-08;INVOICE;2400.0;2856.0;lexoffice_alt
10357;Landmaschinen- u. Kfz-Handel Starkenberg GmbH;2023-11-10;INVOICE;1400.0;1666.0;lexoffice_alt
10404;ISS Facility Holding GmbH;2023-11-13;INVOICE;7200.0;8568.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-11-14;INVOICE;1000.0;1190.0;lexoffice_alt
10134;Fischer-J.W. Zander GmbH &amp Co.KG;2023-11-14;INVOICE;1981.0;2357.39;lexoffice_alt
